# Реестр замеров. Каждая строка: id <TAB> период_в_днях <TAB> команда <TAB> что меряет
#
# Правило: у ЛЮБОГО замера есть срок. Замер без срока держится на том, что кто-то о нём
# вспомнит — а это не механизм. Повод конкретный: 2026-07-29 собеседник спросил, становятся
# ли знания инструментом. Замер был сделан и дал 1,4%. Но сделан он был потому, что спросили;
# без вопроса не случился бы вовсе, и никто бы этого не заметил — у измерения не было ни
# владельца, ни срока.
#
# Просроченный замер поднимается сам: `measurement-due.sh` запускает его и кладёт результат
# рядом, а недельный дайджест сообщает о просрочке. Пустой период (0) означает «по событию,
# не по календарю» — такие строки в просрочку не попадают, но перечислены, чтобы список
# замеров был полным и было видно, что именно меряется по событию.
#
# Оговорка к периоду 0, найденная развёрткой D38: `measurement-due.sh:46-49` делает
# `continue` ДО сравнения возраста, то есть период 0 — буквальное освобождение от проверки.
# Для трёх строк ниже это значило: владелец назван (launchd), а что он сработал — не
# проверяет ничто. Закрыто отдельной строкой `launchd-freshness`, которая смотрит на сами
# задания и на свежесть их артефактов. Освобождение от календаря не равно освобождению
# от проверки — если появится новая строка с периодом 0, у неё должен быть свой сторож.
#
# id	дней	команда	что меряет
knowledge-instrument	7	scripts/knowledge-instrument-audit.sh	какая доля базы знаний способна дойти до действия, а не только до контекста
backlog-recheck	7	scripts/backlog-recheck.sh	остались ли закрытые пункты долга закрытыми
seed-drift	7	python3 scripts/regen-seed.py --check	не разошёлся ли seed с рабочей базой
suite-linux	30	scripts/measure-linux-parity.sh	проходит ли набор тестов на машине без установленного ClaudSoul
launchd-freshness	1	scripts/launchd-freshness.sh	живы ли задания по расписанию и обновляются ли их артефакты
intrusiveness	0	hooks/metrics-collector.sh	вмешательства, пороги, условия возврата долга — по расписанию launchd (com.claudsoul.scanner через auto-scanner, раз в 4 ч) и по вызову /knowledge-audit
knowledge-audit	0	hooks/knowledge-audit-digest.sh	просрочка знаний и эскалация — по расписанию launchd, еженедельно
bridge-health	0	hooks/bridge-health-digest.sh	состояние межслойных мостов — по расписанию launchd, ежемесячно
backlog-archive	7	scripts/backlog-archive.sh run	выполненное уезжает в архив (не отчёт, а сама уборка)
skill-contract	7	hooks/skill-review-check.sh sweep	соблюдают ли контракт ВСЕ скиллы, а не только тронутые коммитом
state-size	7	scripts/state-size.sh	не копится ли что-то в каталоге состояния без уборки
escalation-age	7	scripts/escalation-age.sh	сколько недель заявке на эскалацию, по которой не действуют
second-contour	30	scripts/second-contour-freshness.sh	не устарел ли второй контур: entity/fact/relation вне FSRS по конструкции
calibration	30	python3 scripts/calibrate.py --history ~/.claude/hooks/state/intrusiveness-backfill-digest.jsonl --output /tmp/calibration.md	разбирается ли снимок истории вмешательств
usage-outcome	0	python3 scripts/usage-outcome-audit.py	что об этой работе говорит сторона, которая про ClaudSoul не знает: трения, исходы, покрытие разметкой
knowledge-independence	30	python3 scripts/knowledge-independence.py	на чём стоит confidence: на событиях или на записанных поводах (D81)
meta-contamination	30	python3 scripts/meta-contamination.py	сколько языковых сенсоров считают собственный метадискурс объектным сигналом (D88)
