# path	sha	deps	docs	tests	names
# Генерируется scripts/dep-index.py — не править руками.
bin/resolve-claudsoul-repo.sh	30453fd96e38	install.sh	docs/decisions.md,skills/enrich/SKILL.md,skills/entity/SKILL.md,skills/ingest/SKILL.md,skills/wiki/SKILL.md	hooks/tests/test_adv2_guard_absent_ignores_prior_checks.sh,hooks/tests/test_adv2_guard_clean_machine_false_drift.sh,hooks/tests/test_adv2_guard_reg_counts_foreign_hooks.sh,hooks/tests/test_adv2_guard_reg_missing_is_silent.sh,hooks/tests/test_adv2_guard_skills_differ_reads_absent.sh,hooks/tests/test_adv3_env_override.sh,hooks/tests/test_adv3_relative_pointer.sh,hooks/tests/test_adv5_scan_coverage_gap.sh,hooks/tests/test_drift_check.sh,hooks/tests/test_multibyte_var_boundary.sh,hooks/tests/test_paths_lib.sh,hooks/tests/test_uninstall.sh	resolve_claudsoul_repo
hooks/ablation-phase-guard.sh	2a4f10ab7f67	hooks/paths-lib.sh,hooks/reformulation-tracker.sh,hooks/throttle-lib.sh,install.sh,scripts/ablation/journal.sh,scripts/ablation/phase.sh	.claude-docs/modules/ablation-runner.md,docs/event-producers-registry.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_ablation_phase_guard.sh,hooks/tests/test_adv3_guard_reg_partial_event_loss.sh,hooks/tests/test_stopping_message_names_outcome.sh	inject
hooks/accepted-alternative-gap.sh	cb5fe932e9a8	hooks/knowledge-counter-bump.sh,hooks/output-language-check.sh,hooks/paths-lib.sh,hooks/portable-lib.sh	docs/reference.md,docs/reference.ru.md	hooks/tests/test_accepted_alternative_gap.sh,hooks/tests/test_adv_bump_missing_state_dir.sh	to_lower
hooks/activity-flush-lib.sh	617c46049682	hooks/hook-input-lib.sh	docs/architecture.md,docs/event-producers-registry.md,skills/compile/references/compile-procedure.md,skills/init-project/SKILL.md	hooks/tests/test_activity_flush.sh	activity_flush
hooks/adaptive-stats-lib.sh	f0052c006f21	hooks/knowledge-counter-bump.sh,hooks/paths-lib.sh	docs/architecture.md,skills/retro/references/promotion-rules.md		compute_source_factor,get_domain_distance,score_speaker,update_stats_on_promotion,update_stats_on_weakening
hooks/authorization-lib.sh	f9c0ac39ca89	hooks/portable-lib.sh	.claude-docs/modules/adr-010-authorization.md,bridges/L2-L6-proactive-intensity.md	hooks/tests/test_authorization_state.sh,hooks/tests/test_budget_gate.sh	auth_classify,auth_is_active,auth_state_path,auth_update
hooks/auto-scanner.sh	f4d42843853f	hooks/metrics-collector.sh,hooks/paths-lib.sh,hooks/portable-lib.sh	docs/architecture.md,docs/cascading-analysis.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md,skills/init-project/SKILL.md	hooks/tests/test_adv_bump_missing_state_dir.sh,hooks/tests/test_adv_dep_index_plist_dependents.sh,hooks/tests/test_auto_scanner.sh,hooks/tests/test_instruments_honest.sh	log,resolve_path,scan_project
hooks/backfill-compliance.sh	6e2943f24604	hooks/lib/backfill-compliance-one.py	docs/architecture.md,docs/event-producers-registry.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_backfill_compliance.sh,hooks/tests/test_compliance_gate.sh,hooks/tests/test_state_hygiene.sh	report
hooks/backfill-intrusiveness.sh	b6643abb7662	hooks/lib/backfill-aggregate-digest.sh,hooks/lib/backfill-replay-one.sh,scripts/calibrate.py	docs/reference.md,docs/reference.ru.md	hooks/tests/test_backfill.sh	
hooks/backlog-lib.sh	5b79caff3516	hooks/backlog-vanish-check.sh,scripts/backlog-archive.sh,scripts/backlog-return-check.sh	.claude-docs/modules/backlog-item-shape.md,.claude-docs/modules/backlog-touch-check.md,.claude-docs/modules/backlog-vanish-check.md	hooks/tests/test_backlog_item_shape.sh,hooks/tests/test_backlog_touch_check.sh,hooks/tests/test_root_cause_lib.sh	backlog_ids,backlog_is_item,backlog_item_re,backlog_mark_of,backlog_marks_alt
hooks/backlog-reading-refresh.sh	259544aba30f	hooks/session-collector.sh,scripts/backlog-refresh-readings.sh	.claude-docs/modules/root-cause.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_backlog_reading_refresh.sh	
hooks/backlog-touch-check.sh	e5f4f3dba0d9	hooks/backlog-lib.sh,hooks/paths-lib.sh	.claude-docs/modules/backlog-item-shape.md,.claude-docs/modules/backlog-touch-check.md,CLAUDE.md,docs/architecture.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_backlog_touch_check.sh	
hooks/backlog-vanish-check.sh	a71f5d5c5036	hooks/backlog-lib.sh,scripts/backlog-recheck.sh	.claude-docs/modules/backlog-item-shape.md,.claude-docs/modules/backlog-vanish-check.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_adv_guard_matcher_not_checked.sh,hooks/tests/test_backlog_item_shape.sh,hooks/tests/test_backlog_vanish.sh	ids_of
hooks/bash-cost-detector.sh	ef8f1a1341a6	hooks/intrusiveness-state-lib.sh	README.md,README.ru.md,docs/architecture.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md,skills/knowledge-audit/SKILL.md,skills/trajectory-prediction/SKILL.md	hooks/tests/test_bash_cost_detector.sh,hooks/tests/test_guards_live.sh,hooks/tests/test_itr_event_detector.sh	
hooks/blocker-tier-check.sh	a60549d6a859	hooks/detection-signals-lib.sh,hooks/paths-lib.sh,hooks/root-cause-lib.sh,hooks/throttle-lib.sh	.claude-docs/modules/doc-impact-check.md,.claude-docs/modules/rules-write-bypass.md,README.md,README.ru.md,docs/architecture.md,docs/decisions.md,docs/event-producers-registry.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md	hooks/tests/test_adv_bump_missing_state_dir.sh,hooks/tests/test_blocker_enforcement.sh,hooks/tests/test_cross_hook_recall_gate.sh,hooks/tests/test_stopping_message_names_outcome.sh	
hooks/bridge-health-digest.sh	0560750e6d44	hooks/paths-lib.sh,hooks/yaml-lib.sh	docs/architecture.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_adv_dep_index_plist_dependents.sh,hooks/tests/test_periodic_digests.sh,hooks/tests/test_yaml_lib.sh	
hooks/budget-gate.sh	c863d9bc7b86	hooks/authorization-lib.sh,hooks/intrusiveness-state-lib.sh,hooks/paths-lib.sh,scripts/ab-authorization-replay.sh	.claude-docs/modules/adr-010-authorization.md,.claude-docs/modules/backlog-touch-check.md,CLAUDE.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_adv_bump_missing_state_dir.sh,hooks/tests/test_budget_gate.sh	
hooks/bulk-copy-guard.sh	a20d0fb1cc1e	hooks/hook-input-lib.sh,hooks/portable-lib.sh	README.md,README.ru.md,docs/event-producers-registry.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md	hooks/tests/test_guards_live.sh,hooks/tests/test_imported_guards.sh,hooks/tests/test_stopping_message_names_outcome.sh	hash_value,match_bulk_signature,own_speech_of,to_lower
hooks/changelog-reminder.sh	ad9110da3ef7	hooks/command-scope-lib.sh,hooks/paths-lib.sh	.claude-docs/modules/backlog-vanish-check.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md	hooks/tests/test_adv2_changelog_worktree.sh,hooks/tests/test_adv2_doc_impact_commit_a.sh,hooks/tests/test_adv_bump_missing_state_dir.sh,hooks/tests/test_adv_git_commit_scope.sh,hooks/tests/test_changelog_reminder.sh,hooks/tests/test_command_scope.sh,hooks/tests/test_guards_live.sh	is_add_all,is_git_commit
hooks/ci-check-reminder.sh	8d8dab03dc11	hooks/command-scope-lib.sh,scripts/ci-status.sh	docs/reference.md,docs/reference.ru.md	hooks/tests/test_adv3_heredoc_line_scope.sh,hooks/tests/test_adv4_dquote_subst_scope.sh,hooks/tests/test_ci_check_reminder.sh	
hooks/claude-md-size-check.sh	e767e91c70d1	hooks/command-scope-lib.sh,hooks/paths-lib.sh	docs/reference.md,docs/reference.ru.md,skills/init-project/SKILL.md	hooks/tests/test_adv_git_commit_scope.sh,hooks/tests/test_command_scope.sh,hooks/tests/test_guards_live.sh,hooks/tests/test_imported_guards.sh	is_git_commit
hooks/claudsoul-context-pointer.sh	d46238bfcdb0	hooks/paths-lib.sh,hooks/portable-lib.sh,hooks/throttle-lib.sh	docs/reference.md,docs/reference.ru.md	hooks/tests/test_claudsoul_context_pointer.sh	to_lower
hooks/co-cognition-lib.sh	8e2db6371976		.claude-docs/modules/bridge-co-cognition.md,bridges/L2-L7-co-evolutionary-knowledge.md	hooks/tests/test_adv2_dep_index_path_mention.sh,hooks/tests/test_co_cognition_lib.sh	cocog_block,flush
hooks/code-review-reminder.sh	555c109fc880	hooks/command-scope-lib.sh,hooks/paths-lib.sh	docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md	hooks/tests/test_adv_git_commit_scope.sh,hooks/tests/test_code_review_reminder.sh,hooks/tests/test_command_scope.sh,hooks/tests/test_guards_live.sh,hooks/tests/test_imported_guards.sh,hooks/tests/test_quality_gate.sh	is_git_commit
hooks/command-scope-lib.sh	ed9789965e52	hooks/hook-input-lib.sh	docs/event-producers-registry.md	hooks/tests/test_adv3_heredoc_line_scope.sh,hooks/tests/test_adv3_quote_escape_scope.sh,hooks/tests/test_adv4_ansi_arith_comment.sh,hooks/tests/test_adv4_dquote_subst_scope.sh,hooks/tests/test_adv5_continuation_backtick.sh,hooks/tests/test_adv_git_commit_scope.sh,hooks/tests/test_bsd_forms_paired.sh,hooks/tests/test_ci_check_reminder.sh,hooks/tests/test_command_scope.sh,hooks/tests/test_command_scope_differential.sh,hooks/tests/test_five_whys_gate.sh,hooks/tests/test_predicate_signal.sh	eat_ws,executable_part,is_git_commit
hooks/compile-reminder-lib.sh	0642dfc7d532	hooks/portable-lib.sh		hooks/tests/test_compile_reminder.sh	compile_reminder_check,compile_reminder_reset
hooks/declared-problem-recorded.sh	a7271c1ad2ab	hooks/paths-lib.sh,hooks/portable-lib.sh,hooks/root-cause-lib.sh,install.sh,scripts/outcome.sh	.claude-docs/modules/declared-problem-recorded.md,.claude-docs/modules/five-whys-gate.md,.claude-docs/modules/root-cause.md,docs/architecture.md,docs/reference.md,docs/reference.ru.md	hooks/tests/test_declared_problem_per_turn.sh,hooks/tests/test_declared_problem_recorded.sh,hooks/tests/test_external_events.sh,hooks/tests/test_install_drift.sh,hooks/tests/test_outcome_journal.sh,hooks/tests/test_root_cause_lib.sh	carrier_touched_after,mtime_of
hooks/decompose-detector.sh	0f58e757e281	hooks/paths-lib.sh,hooks/portable-lib.sh,hooks/throttle-lib.sh	docs/event-producers-registry.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md	hooks/tests/test_decompose_detector.sh	count_decision_signals,count_signals,to_lower
hooks/detection-signals-lib.sh	879f53b290ce	hooks/blocker-tier-check.sh,hooks/command-scope-lib.sh	README.md,README.ru.md,docs/architecture.md	hooks/tests/test_detection_signals.sh,hooks/tests/test_predicate_signal.sh	ds_code_only,ds_evaluate,ds_evaluate_node,ds_evaluate_signal,ds_extract_signals,ds_has_blocker_flag,ds_shell_only,ds_unquoted_command
hooks/disagreement-lib.sh	20f77c04903e	hooks/portable-lib.sh,hooks/session-collector.sh	docs/event-producers-registry.md,skills/learn/SKILL.md	hooks/tests/test_adv3_bump_pending_no_trailing_newline.sh,hooks/tests/test_disagreement_loop.sh,hooks/tests/test_lib_shell_parity.sh	dis_expire_old,dis_harvest_corrections,dis_scan_open,dis_stats,iso_epoch
hooks/doc-impact-check.sh	5fc2f04ee489	hooks/command-scope-lib.sh,hooks/paths-lib.sh,scripts/dep-index.py	.claude-docs/modules/doc-impact-check.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md	hooks/tests/test_adv2_doc_impact_commit_a.sh,hooks/tests/test_adv2_doc_impact_stale_row.sh,hooks/tests/test_adv3_dep_marker_in_comment.sh,hooks/tests/test_adv3_dep_partial_stage.sh,hooks/tests/test_adv3_guard_docclaim_block_overcapture.sh,hooks/tests/test_adv_dep_index_nonascii_paths.sh,hooks/tests/test_adv_doc_impact_space_path.sh,hooks/tests/test_adv_doc_impact_throttle_content.sh,hooks/tests/test_adv_guard_matcher_not_checked.sh,hooks/tests/test_doc_impact_check.sh,hooks/tests/test_doc_state_decision.sh	is_git_commit
hooks/docs-family-check.sh	2ba4ac9068f9	hooks/command-scope-lib.sh,hooks/hash-lib.sh,hooks/paths-lib.sh,hooks/root-cause-lib.sh,hooks/throttle-lib.sh,scripts/regen-readme-skills.sh	.claude-docs/modules/doc-impact-check.md,.claude-docs/modules/docs-audit.md,docs/architecture.md,docs/development.md,docs/event-producers-registry.md,docs/reference.md,docs/reference.ru.md,rules/CLAUDE.md,skills/init-project/SKILL.md,skills/project-health/references/dev-rules-canon.md	hooks/tests/test_adv2_doc_impact_commit_a.sh,hooks/tests/test_adv2_docs_family_index_vs_worktree.sh,hooks/tests/test_adv2_docs_family_quotepath.sh,hooks/tests/test_adv_git_commit_scope.sh,hooks/tests/test_changelog_reminder.sh,hooks/tests/test_command_scope.sh,hooks/tests/test_count_stats_patch.sh,hooks/tests/test_doc_state_decision.sh,hooks/tests/test_docs_family_check.sh,hooks/tests/test_guards_live.sh,hooks/tests/test_project_conformance.sh	append_missing,check_generated_tables,is_git_commit
