# Реестр утверждений документов: каждое число в документе состояния держится командой.
#
# Формат: файл <TAB> регулярное выражение с ОДНОЙ группой (значение) <TAB> ключ doc-figures.sh <TAB> формат <TAB> что это
# Формат: пусто | comma (0.16 → 0,16) | thousands_comma (13117 → 13,117) | thousands_space (13117 → 13 117)
# Пересчёт: bash scripts/docs-refresh-claims.sh run ; сверка: --check (стоит в гейте публикации и в страже бампа).
# Ключ, чей источник на машине недоступен (n/a), пропускается и называется — это не расхождение.
#
# Повод (30 августа 2026): README нёс 176 находок при 185, 52 хука при 54, «пять хуков» при девяти —
# всё верное 25 августа, всё устаревшее за пять дней, потому что жило прозой без команды.
README.md	(\d+) hooks on Claude Code lifecycle events	hooks_registered		хуков на событиях, первая строка
README.ru.md	(\d+) хук(?:а|ов)? на события Claude Code	hooks_registered		хуков на событиях, первая строка
README.md	(\d+) items in the base;	kb_items		записей в базе автора
README.ru.md	В базе (\d+) запис	kb_items		записей в базе автора
README.md	starts with (\d+) seed items	seed_items		стартовых знаний в seed
README.ru.md	начинается с (\d+) стартовых	seed_items		стартовых знаний в seed
README.md	(\d+) hooks \*do\* interrupt	hooks_interrupt		хуков, вмешивающихся в вызов
README.md	interrupt: (\d+) ask you to confirm	hooks_ask		хуков, спрашивающих подтверждения
README.md	\) and (\d+) refuse outright	hooks_deny		хуков, отказывающих
README.ru.md	Жёстко вмешиваются (\d+) хук	hooks_interrupt		хуков, вмешивающихся в вызов
README.ru.md	хук(?:а|ов)?: (\d+) спрашива	hooks_ask		хуков, спрашивающих подтверждения
README.ru.md	\) и (\d+) отказыва	hooks_deny		хуков, отказывающих
docs/reference.md	(\d+) of the \d+ hooks are wired into	hooks_registered		хуков на событиях, вводный абзац
docs/reference.md	of the (\d+) hooks are wired into	hooks		хуков всего, вводный абзац
docs/reference.md	(\d+) of them can actually interrupt	hooks_interrupt		хуков, вмешивающихся в вызов
docs/reference.md	(\d+) raise `permissionDecision: ask`	hooks_ask		хуков, спрашивающих подтверждения
docs/reference.md	(\d+) return `deny`	hooks_deny		хуков, отказывающих
docs/reference.ru.md	подключены (\d+) хук(?:а|ов)? из \d+	hooks_registered		хуков на событиях, вводный абзац
docs/reference.ru.md	подключены \d+ хук(?:а|ов)? из (\d+)	hooks		хуков всего, вводный абзац
docs/reference.ru.md	Вмешаться в вызов могут (\d+) из них	hooks_interrupt		хуков, вмешивающихся в вызов
docs/reference.ru.md	(\d+) поднимают `permissionDecision: ask`	hooks_ask		хуков, спрашивающих подтверждения
docs/reference.ru.md	(\d+) возвращают `deny`	hooks_deny		хуков, отказывающих
README.md	(\d+) findings over five months	findings_total		находок проверки языка, всего
README.ru.md	(\d+) находок за пять месяцев	findings_total		находок проверки языка, всего
README.md	by a machine (\d+) times	findings_total		то же число в выводе абзаца
README.ru.md	находит машина, (\d+) раз	findings_total		то же число в выводе абзаца
README.md	^\| 2026-04 \(from the 24th\) \| (\d+) \|	findings_2026-04		находок за 2026-04
README.md	^\| 2026-04 \(from the 24th\) \| \d+ \| (\d+) \|	sessions_2026-04		сессий за 2026-04
README.ru.md	^\| 2026-04 \(с 24-го\) \| (\d+) \|	findings_2026-04		находок за 2026-04
README.ru.md	^\| 2026-04 \(с 24-го\) \| \d+ \| (\d+) \|	sessions_2026-04		сессий за 2026-04
README.md	^\| 2026-05 \| (\d+) \|	findings_2026-05		находок за 2026-05
README.md	^\| 2026-05 \| \d+ \| (\d+) \|	sessions_2026-05		сессий за 2026-05
README.ru.md	^\| 2026-05 \| (\d+) \|	findings_2026-05		находок за 2026-05
README.ru.md	^\| 2026-05 \| \d+ \| (\d+) \|	sessions_2026-05		сессий за 2026-05
README.md	^\| 2026-05 \| \d+ \| \d+ \| \*{0,2}([\d.]+)\*{0,2} \|	per_session_2026-05		на сессию за 2026-05
README.ru.md	^\| 2026-05 \| \d+ \| \d+ \| \*{0,2}([\d,]+)\*{0,2} \|	per_session_2026-05	comma	на сессию за 2026-05
README.md	^\| 2026-06 \| (\d+) \|	findings_2026-06		находок за 2026-06
README.md	^\| 2026-06 \| \d+ \| (\d+) \|	sessions_2026-06		сессий за 2026-06
README.ru.md	^\| 2026-06 \| (\d+) \|	findings_2026-06		находок за 2026-06
README.ru.md	^\| 2026-06 \| \d+ \| (\d+) \|	sessions_2026-06		сессий за 2026-06
README.md	^\| 2026-06 \| \d+ \| \d+ \| \*{0,2}([\d.]+)\*{0,2} \|	per_session_2026-06		на сессию за 2026-06
README.ru.md	^\| 2026-06 \| \d+ \| \d+ \| \*{0,2}([\d,]+)\*{0,2} \|	per_session_2026-06	comma	на сессию за 2026-06
README.md	^\| 2026-07 \| (\d+) \|	findings_2026-07		находок за 2026-07
README.md	^\| 2026-07 \| \d+ \| (\d+) \|	sessions_2026-07		сессий за 2026-07
README.ru.md	^\| 2026-07 \| (\d+) \|	findings_2026-07		находок за 2026-07
README.ru.md	^\| 2026-07 \| \d+ \| (\d+) \|	sessions_2026-07		сессий за 2026-07
README.md	^\| 2026-07 \| \d+ \| \d+ \| \*{0,2}([\d.]+)\*{0,2} \|	per_session_2026-07		на сессию за 2026-07
README.ru.md	^\| 2026-07 \| \d+ \| \d+ \| \*{0,2}([\d,]+)\*{0,2} \|	per_session_2026-07	comma	на сессию за 2026-07
README.md	^\| 2026-08 \| (\d+) \|	findings_2026-08		находок за 2026-08
README.md	^\| 2026-08 \| \d+ \| (\d+) \|	sessions_2026-08		сессий за 2026-08
README.ru.md	^\| 2026-08 \| (\d+) \|	findings_2026-08		находок за 2026-08
README.ru.md	^\| 2026-08 \| \d+ \| (\d+) \|	sessions_2026-08		сессий за 2026-08
README.md	^\| 2026-08 \| \d+ \| \d+ \| \*{0,2}([\d.]+)\*{0,2} \|	per_session_2026-08		на сессию за 2026-08
README.ru.md	^\| 2026-08 \| \d+ \| \d+ \| \*{0,2}([\d,]+)\*{0,2} \|	per_session_2026-08	comma	на сессию за 2026-08
README.md	(\d+) unique sessions over the span	sessions_unique		уникальных сессий в телеметрии L6
README.ru.md	(\d+) уникальных сесси	sessions_unique		уникальных сессий в телеметрии L6
README.md	session registry counts (\d+) for the same period	registry_sessions_since_2026-04-24		сессий в реестре с 24 апреля
README.ru.md	Реестр сессий даёт за тот же период (\d+)	registry_sessions_since_2026-04-24		сессий в реестре с 24 апреля
README.md	(\d+) items recorded with `origin: co-cognition`	kb_co_cognition		знаний с origin co-cognition
README.ru.md	(\d+) знаний с пометкой `origin: co-cognition`	kb_co_cognition		знаний с origin co-cognition
README.md	\((\d+)% of \d+ events resolved\)	disagreement_rate		доля закрытых событий контура несогласия
README.md	\(\d+% of (\d+) events resolved\)	disagreement_total		событий контура несогласия
README.ru.md	закрыто (\d+) % из \d+ событий	disagreement_rate		доля закрытых событий контура несогласия
README.ru.md	закрыто \d+ % из (\d+) событий	disagreement_total		событий контура несогласия
README.md	\| ([\d,]+) injections;	injections_total	thousands_comma	инжекций знаний, из сводки метрик
README.ru.md	\| ([\d ]+) подач;	injections_total	thousands_space	инжекций знаний, из сводки метрик
README.md	\| (\d+) pre-action markers across	blocker_markers		пометок blocker-tier
README.md	pre-action markers across (\d+) sessions	blocker_sessions		сессий с пометками blocker-tier
